,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-05-04,6220.0,6360.0,6140.0,6180.0,4425.5283203125,26100000,4449.398274739583,4388.29052734375
2000-05-05,6180.0,6180.0,6180.0,6180.0,4425.5283203125,0,4425.5283203125,4414.07041015625
2000-05-08,6400.0,6700.0,6300.0,6560.0,4697.64794921875,52695000,4516.23486328125,4494.27421875
2000-05-09,6560.0,6560.0,6560.0,6560.0,4697.64794921875,0,4606.94140625,4534.376171875
2000-05-10,6320.0,6390.0,6270.0,6350.0,4547.265625,27620000,4647.5205078125,4558.7236328125
2000-05-11,6350.0,6350.0,6350.0,6350.0,4547.265625,0,4597.39306640625,4583.07109375
2000-05-12,6420.0,6440.0,6160.0,6160.0,4411.20703125,47170000,4501.912760416667,4580.2068359375
2000-05-15,6290.0,6530.0,6220.0,6440.0,4611.71435546875,47120000,4523.395670572917,4563.0201171875
2000-05-16,6510.0,6800.0,6510.0,6800.0,4869.51416015625,39620000,4630.811848958333,4597.393359375
2000-05-17,7000.0,7340.0,6920.0,6920.0,4955.4453125,76235000,4812.224609375,4679.029296875
2000-05-18,6740.0,7000.0,6680.0,6800.0,4869.51416015625,36580000,4898.157877604167,4743.47900390625
2000-05-19,6740.0,6900.0,6600.0,6900.0,4941.1240234375,41450000,4922.02783203125,4849.46240234375
2000-05-22,6720.0,6830.0,6620.0,6670.0,4776.41748046875,36385000,4862.351888020833,4882.40302734375
2000-05-23,6500.0,6700.0,6350.0,6380.0,4568.75,41290000,4762.09716796875,4822.2501953125
2000-05-24,6160.0,6370.0,5920.0,6200.0,4439.85107421875,72150000,4595.006184895833,4719.13134765625
2000-05-25,6330.0,6380.0,5930.0,6000.0,4296.62890625,85965000,4435.07666015625,4604.554296875
2000-05-26,5900.0,5990.0,5600.0,5600.0,4010.1875,67100000,4248.88916015625,4418.3669921875
2000-05-29,5260.0,5680.0,5240.0,5460.0,3909.931884765625,67130000,4072.2494303385415,4245.069873046875
2000-05-30,5460.0,5460.0,5460.0,5460.0,3909.931884765625,0,3943.3504231770835,4113.30625
2000-05-31,6000.0,6290.0,5960.0,6160.0,4411.20703125,83935000,4077.0236002604165,4107.57744140625
2000-06-01,6200.0,6410.0,6120.0,6300.0,4511.46044921875,50230000,4277.533121744792,4150.54375
2000-06-02,6690.0,6900.0,6510.0,6620.0,4740.6142578125,84385000,4554.42724609375,4296.6291015625
2000-06-05,6920.0,6980.0,6680.0,6740.0,4826.5478515625,48010000,4692.874186197917,4479.952294921875
2000-06-06,6740.0,6740.0,6740.0,6740.0,4826.5478515625,0,4797.9033203125,4663.27548828125
2000-06-07,6600.0,6980.0,6510.0,6800.0,4869.51416015625,53365000,4840.869954427083,4754.9369140625
2000-06-08,6660.0,6960.0,6530.0,6530.0,4676.16552734375,58550000,4790.742513020833,4787.8779296875
2000-06-09,6600.0,7040.0,6530.0,7020.0,5027.0556640625,63860000,4857.578450520833,4845.1662109375
2000-06-12,7200.0,7280.0,7030.0,7190.0,5148.79296875,49515000,4950.67138671875,4909.615234375
2000-06-13,7060.0,7100.0,6870.0,7060.0,5055.69921875,42495000,5077.1826171875,4955.4455078125
2000-06-14,7230.0,7640.0,7090.0,7640.0,5471.04052734375,63020000,5225.177571614583,5075.75078125
2000-06-15,7560.0,7560.0,7000.0,7000.0,5012.734375,61225000,5179.82470703125,5143.06455078125
2000-06-16,6900.0,6960.0,6710.0,6740.0,4826.5478515625,66455000,5103.44091796875,5102.96298828125
2000-06-19,6600.0,6950.0,6550.0,6700.0,4797.90283203125,53560000,4879.061686197917,5032.7849609375
2000-06-20,6940.0,7180.0,6830.0,7140.0,5112.98828125,59790000,4912.479654947917,5044.2427734375
2000-06-21,7300.0,7380.0,7070.0,7080.0,5070.02099609375,37585000,4993.637369791667,4964.0388671875
2000-06-22,7240.0,7270.0,6960.0,7040.0,5041.3779296875,33635000,5074.795735677083,4969.767578125
2000-06-23,6980.0,7010.0,6860.0,7000.0,5012.734375,29215000,5041.377766927083,5007.0048828125
2000-06-26,7100.0,7360.0,6990.0,7210.0,5163.11572265625,39980000,5072.409342447917,5080.0474609375
2000-06-27,7320.0,7440.0,7190.0,7310.0,5234.7265625,45535000,5136.85888671875,5104.3951171875
2000-06-28,7220.0,7540.0,7220.0,7520.0,5385.1083984375,47295000,5260.983561197917,5167.41259765625
2000-06-29,7600.0,7740.0,7380.0,7490.0,5363.62548828125,61120000,5327.820149739583,5231.862109375
2000-06-30,7440.0,7540.0,7290.0,7380.0,5284.8544921875,35250000,5344.529459635417,5286.2861328125
2000-07-03,7440.0,7550.0,7420.0,7500.0,5370.78759765625,25975000,5339.755859375,5327.8205078125
2000-07-04,7600.0,7620.0,7350.0,7350.0,5263.37109375,32810000,5306.337727864583,5333.5494140625
2000-07-05,7390.0,7520.0,7350.0,7430.0,5320.66064453125,24895000,5318.273111979167,5320.65986328125
2000-07-06,7240.0,7350.0,7180.0,7300.0,5227.5673828125,60340000,5270.533040364583,5293.4482421875
2000-07-07,7340.0,7460.0,7230.0,7360.0,5270.5322265625,40580000,5272.920084635417,5290.5837890625
2000-07-10,7440.0,7630.0,7410.0,7600.0,5442.39599609375,42505000,5313.49853515625,5304.90546875
2000-07-11,7580.0,7740.0,7450.0,7450.0,5334.98193359375,34945000,5349.303385416667,5319.22763671875
2000-07-12,7520.0,7660.0,7460.0,7640.0,5471.04052734375,40140000,5416.139485677083,5349.30361328125
2000-07-13,7700.0,7880.0,7570.0,7760.0,5556.97509765625,48805000,5454.33251953125,5415.18515625
2000-07-14,7780.0,7840.0,7540.0,7550.0,5406.59033203125,30425000,5478.201985677083,5442.39677734375
2000-07-17,7550.0,7550.0,7550.0,7550.0,5406.59033203125,0,5456.718587239583,5435.23564453125
2000-07-18,7550.0,7620.0,7440.0,7460.0,5342.1416015625,19605000,5385.107421875,5436.667578125
2000-07-19,7550.0,7620.0,7440.0,7460.0,5342.1416015625,19605000,5363.62451171875,5410.88779296875
2000-07-20,7060.0,7110.0,6840.0,6900.0,4941.1240234375,40315000,5208.469075520833,5287.717578125
2000-07-21,6960.0,7050.0,6760.0,6920.0,4955.4453125,48395000,5079.5703125,5197.48857421875
2000-07-24,6640.0,6740.0,6360.0,6380.0,4568.75,49015000,4821.773111979167,5029.9205078125
2000-07-25,6310.0,6400.0,6120.0,6280.0,4497.13818359375,56735000,4673.77783203125,4860.91982421875
2000-07-26,6400.0,6580.0,6360.0,6550.0,4690.486328125,54745000,4585.458170572917,4730.58876953125
2000-07-27,6220.0,6360.0,6100.0,6230.0,4461.3330078125,43540000,4549.652506510417,4634.63056640625
2000-07-28,5800.0,5910.0,5710.0,5730.0,4103.2802734375,83035000,4418.366536458333,4464.19755859375
2000-07-31,5730.0,5910.0,5550.0,5900.0,4225.0185546875,46615000,4263.210611979167,4395.45126953125
2000-08-01,5960.0,6270.0,5870.0,6220.0,4454.17138671875,53120000,4260.823404947917,4386.85791015625
2000-08-02,6100.0,6170.0,5930.0,6070.0,4346.75732421875,37190000,4341.982421875,4318.112109375
2000-08-03,6180.0,6180.0,5970.0,6030.0,4318.11181640625,27815000,4373.013509114583,4289.46787109375
2000-08-04,5930.0,6010.0,5850.0,5920.0,4239.34130859375,23605000,4301.403483072917,4316.680078125
2000-08-07,5740.0,5770.0,5580.0,5580.0,3995.864501953125,28765000,4184.439208984375,4270.849267578125
2000-08-08,5660.0,5750.0,5570.0,5580.0,3995.864501953125,33475000,4077.0234375,4179.187890625
2000-08-09,5680.0,6040.0,5680.0,6000.0,4296.62890625,39570000,4096.119303385417,4169.16220703125
2000-08-10,6000.0,6160.0,5860.0,6160.0,4411.20703125,40830000,4234.566813151042,4187.78125
2000-08-11,6000.0,6070.0,5880.0,5960.0,4267.98583984375,33840000,4325.27392578125,4193.51015625
2000-08-14,6060.0,6160.0,6000.0,6020.0,4310.94970703125,23730000,4330.047526041667,4256.527197265625
