,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-05-25,6330.0,6380.0,5930.0,6000.0,4296.6298828125,85965000,6193.333333333333,6430.0
2000-05-26,5900.0,5990.0,5600.0,5600.0,4010.187744140625,67100000,5933.333333333333,6170.0
2000-05-29,5260.0,5680.0,5240.0,5460.0,3909.932373046875,67130000,5686.666666666667,5928.0
2000-05-30,5460.0,5460.0,5460.0,5460.0,3909.932373046875,0,5506.666666666667,5744.0
2000-05-31,6000.0,6290.0,5960.0,6160.0,4411.2060546875,83935000,5693.333333333333,5736.0
2000-06-01,6200.0,6410.0,6120.0,6300.0,4511.46142578125,50230000,5973.333333333333,5796.0
2000-06-02,6690.0,6900.0,6510.0,6620.0,4740.61376953125,84385000,6360.0,6000.0
2000-06-05,6920.0,6980.0,6680.0,6740.0,4826.54736328125,48010000,6553.333333333333,6256.0
2000-06-06,6740.0,6740.0,6740.0,6740.0,4826.54736328125,0,6700.0,6512.0
2000-06-07,6600.0,6980.0,6510.0,6800.0,4869.51220703125,53365000,6760.0,6640.0
2000-06-08,6660.0,6960.0,6530.0,6530.0,4676.16455078125,58550000,6690.0,6686.0
2000-06-09,6600.0,7040.0,6530.0,7020.0,5027.0546875,63860000,6783.333333333333,6766.0
2000-06-12,7200.0,7280.0,7030.0,7190.0,5148.7939453125,49515000,6913.333333333333,6856.0
2000-06-13,7060.0,7100.0,6870.0,7060.0,5055.69921875,42495000,7090.0,6920.0
2000-06-14,7230.0,7640.0,7090.0,7640.0,5471.04150390625,63020000,7296.666666666667,7088.0
2000-06-15,7560.0,7560.0,7000.0,7000.0,5012.734375,61225000,7233.333333333333,7182.0
2000-06-16,6900.0,6960.0,6710.0,6740.0,4826.54736328125,66455000,7126.666666666667,7126.0
2000-06-19,6600.0,6950.0,6550.0,6700.0,4797.9033203125,53560000,6813.333333333333,7028.0
2000-06-20,6940.0,7180.0,6830.0,7140.0,5112.9892578125,59790000,6860.0,7044.0
2000-06-21,7300.0,7380.0,7070.0,7080.0,5070.021484375,37585000,6973.333333333333,6932.0
2000-06-22,7240.0,7270.0,6960.0,7040.0,5041.376953125,33635000,7086.666666666667,6940.0
2000-06-23,6980.0,7010.0,6860.0,7000.0,5012.734375,29215000,7040.0,6992.0
2000-06-26,7100.0,7360.0,6990.0,7210.0,5163.11669921875,39980000,7083.333333333333,7094.0
2000-06-27,7320.0,7440.0,7190.0,7310.0,5234.72705078125,45535000,7173.333333333333,7128.0
2000-06-28,7220.0,7540.0,7220.0,7520.0,5385.1083984375,47295000,7346.666666666667,7216.0
2000-06-29,7600.0,7740.0,7380.0,7490.0,5363.625,61120000,7440.0,7306.0
2000-06-30,7440.0,7540.0,7290.0,7380.0,5284.85400390625,35250000,7463.333333333333,7382.0
2000-07-03,7440.0,7550.0,7420.0,7500.0,5370.78662109375,25975000,7456.666666666667,7440.0
2000-07-04,7600.0,7620.0,7350.0,7350.0,5263.36962890625,32810000,7410.0,7448.0
2000-07-05,7390.0,7520.0,7350.0,7430.0,5320.66015625,24895000,7426.666666666667,7430.0
2000-07-06,7240.0,7350.0,7180.0,7300.0,5227.56591796875,60340000,7360.0,7392.0
2000-07-07,7340.0,7460.0,7230.0,7360.0,5270.5302734375,40580000,7363.333333333333,7388.0
2000-07-10,7440.0,7630.0,7410.0,7600.0,5442.39697265625,42505000,7420.0,7408.0
2000-07-11,7580.0,7740.0,7450.0,7450.0,5334.98095703125,34945000,7470.0,7428.0
2000-07-12,7520.0,7660.0,7460.0,7640.0,5471.04150390625,40140000,7563.333333333333,7470.0
2000-07-13,7700.0,7880.0,7570.0,7760.0,5556.9736328125,48805000,7616.666666666667,7562.0
2000-07-14,7780.0,7840.0,7540.0,7550.0,5406.591796875,30425000,7650.0,7600.0
2000-07-17,7550.0,7550.0,7550.0,7550.0,5406.591796875,0,7620.0,7590.0
2000-07-18,7550.0,7620.0,7440.0,7460.0,5342.14111328125,19605000,7520.0,7592.0
